ccode,country,"Revenue data","Rent data"
ABW,Aruba,NULL,NULL
AFG,Afghanistan,NULL,NULL
AGO,Angola,AGO,AGO
ALB,Albania,NULL,NULL
AND,Andorra,NULL,NULL
ARE,"United Arab Emirates",ARE,ARE
ARG,Argentina,ARG,NULL
ARM,Armenia,NULL,NULL
ASM,"American Samoa",NULL,NULL
ATG,"Antigua and Barbuda",NULL,NULL
AUS,Australia,NULL,AUS
AUT,Austria,NULL,NULL
AZE,Azerbaijan,NULL,AZE
BDI,Burundi,NULL,NULL
BEL,Belgium,NULL,NULL
BEN,Benin,NULL,NULL
BFA,"Burkina Faso",NULL,NULL
BGD,Bangladesh,NULL,NULL
BGR,Bulgaria,NULL,NULL
BHR,Bahrain,BHR,BHR
BHS,"Bahamas, The",NULL,NULL
BIH,"Bosnia and Herzegovina",NULL,NULL
BLR,Belarus,NULL,NULL
BLZ,Belize,NULL,NULL
BMU,Bermuda,NULL,NULL
BOL,Bolivia,NULL,BOL
BRA,Brazil,NULL,BRA
BRB,Barbados,NULL,NULL
BRN,Brunei,BRN,BRN
BTN,Bhutan,NULL,NULL
BWA,Botswana,BWA,NULL
CAF,"Central African Republic",NULL,NULL
CAN,Canada,NULL,CAN
CHE,Switzerland,NULL,NULL
CHI,"Channel Islands",NULL,NULL
CHL,Chile,NULL,NULL
CHN,China,NULL,NULL
CIV,"Cote d'Ivoire",CIV,CIV
CMR,Cameroon,CMR,CMR
COD,"Congo, Dem. Rep.",NULL,COD
COG,"Congo, Rep.",COG,COG
COL,Colombia,COL,COL
COM,Comoros,NULL,NULL
CPV,"Cabo Verde",NULL,NULL
CRI,"Costa Rica",NULL,NULL
CUB,Cuba,NULL,NULL
CUW,Curacao,NULL,NULL
CYM,"Cayman Islands",NULL,NULL
CYP,Cyprus,NULL,NULL
CZE,"Czech Republic",NULL,NULL
DEU,Germany,NULL,NULL
DJI,Djibouti,NULL,NULL
DMA,Dominica,NULL,NULL
DNK,Denmark,NULL,NULL
DOM,"Dominican Republic",NULL,NULL
DZA,Algeria,DZA,DZA
ECU,Ecuador,NULL,ECU
EGY,"Egypt, Arab Rep.",NULL,NULL
ERI,Eritrea,NULL,NULL
