,ccode,class_income,classifier,class_reg,class_subreg,year,rev_resrevgdp,rent_min,rent_coal,rent_gas,rent_oil,exp_eishare,price_brent,max_rent,gov_take,regressive_coeff,increasing_rent,increasing_take,years_rent_increasing_without_take_inc
1,AGO,Upper middle income,Oil,Africa,Middle Africa,2000,45.2904,0,NA,1.33935909,139.1454684,99.179,28.5,139.1454684,32.54895795,-0.070223249,0,0,3
2,AGO,Upper middle income,Oil,Africa,Middle Africa,2001,36.1481,0,NA,1.064328236,100.3571926,98.9536,24.44,100.3571926,36.01944122,-0.070223249,0,1,3
3,AGO,Upper middle income,Oil,Africa,Middle Africa,2002,27.0716,0,NA,0.540108588,83.76639562,98.8605,25.02,83.76639562,32.31797166,-0.070223249,0,0,3
4,AGO,Upper middle income,Oil,Africa,Middle Africa,2003,27.8493,0,NA,0.584929232,54.0998337,99.3532,28.83,54.0998337,51.47760741,-0.070223249,0,1,3
5,AGO,Upper middle income,Oil,Africa,Middle Africa,2004,28.956,0,NA,0.484208622,56.13048739,99.502,38.27,56.13048739,51.58693848,-0.070223249,1,1,3
6,AGO,Upper middle income,Oil,Africa,Middle Africa,2005,35.388,0,NA,0.432778864,65.13416211,99.514,54.52,65.13416211,54.33093611,-0.070223249,1,1,3
7,AGO,Upper middle income,Oil,Africa,Middle Africa,2006,40.4495,0,NA,0.298236092,62.61716875,99.6633,65.14,62.61716875,64.59809795,-0.070223249,0,1,3
8,AGO,Upper middle income,Oil,Africa,Middle Africa,2007,37.3388,0,NA,0.250259014,58.65732702,96.7158,72.39,58.65732702,63.65581573,-0.070223249,0,0,3
9,AGO,Upper middle income,Oil,Africa,Middle Africa,2008,41.3565,0,NA,0.240457884,70.66782864,99.602,97.26,70.66782864,58.52238677,-0.070223249,1,0,3
10,AGO,Upper middle income,Oil,Africa,Middle Africa,2009,24.2859,0,NA,0.101666367,44.33736847,99.0654,61.67,44.33736847,54.77524002,-0.070223249,0,0,3
11,AGO,Upper middle income,Oil,Africa,Middle Africa,2010,33.1069,0,NA,0.071641687,46.63311704,99.097,79.5,46.63311704,70.99439647,-0.070223249,1,1,3
12,AGO,Upper middle income,Oil,Africa,Middle Africa,2011,39.6968,0,NA,0.059531471,46.34450134,99.7753,111.26,46.34450134,85.6559006,-0.070223249,0,1,3
13,ARE,High income,Oil,Asia,Western Asia,2000,21.1484,0,NA,4.601381734,18.2237892,78.1695,28.5,18.2237892,116.0483134,0.474125385,0,0,3
14,ARE,High income,Oil,Asia,Western Asia,2001,18.2975,0,NA,4.390320912,14.54288926,75.6137,24.44,14.54288926,125.8175021,0.474125385,0,1,3
15,ARE,High income,Oil,Asia,Western Asia,2002,14.1879,0,NA,3.332274092,13.05891062,69.6679,25.02,13.05891062,108.6453565,0.474125385,0,0,3
16,ARE,High income,Oil,Asia,Western Asia,2003,17.0337,0,NA,4.990580429,15.3968824,71.9798,28.83,15.3968824,110.6308378,0.474125385,1,1,3
17,ARE,High income,Oil,Asia,Western Asia,2004,18.727,0,NA,4.714599723,18.31379511,71.7478,38.27,18.31379511,102.2562494,0.474125385,1,0,3
18,ARE,High income,Oil,Asia,Western Asia,2005,23.4232,0,NA,6.139695605,22.05244002,71.811,54.52,22.05244002,106.2159107,0.474125385,1,1,3
19,ARE,High income,Oil,Asia,Western Asia,2006,27.1461,0,NA,5.060356759,23.43680341,75.4628,65.14,23.43680341,115.8268025,0.474125385,1,1,3
20,ARE,High income,Oil,Asia,Western Asia,2007,25.228,0,NA,4.553762515,21.87369429,74.6426,72.39,21.87369429,115.3348843,0.474125385,0,0,3
21,AUS,High income,Minerals,Oceania,Australia and New Zealand,2001,1.41179,1.466751891,0.031048726,1.062603391,0.981412697,44.6372,24.44,1.466751891,96.25281608,2.97490826,0,0,1
22,AUS,High income,Minerals,Oceania,Australia and New Zealand,2002,1.16072,1.479400843,0,0.780523612,1.095805333,43.7833,25.02,1.479400843,78.45878995,2.97490826,1,0,1
23,AUS,High income,Minerals,Oceania,Australia and New Zealand,2003,0.833954,1.546299313,0,1.116404788,1.016742036,44.1288,28.83,1.546299313,53.93224927,2.97490826,1,0,1
24,AUS,High income,Minerals,Oceania,Australia and New Zealand,2004,0.725637,1.894671095,0.823143941,0.945880289,0.916758061,44.9613,38.27,1.894671095,38.2988373,2.97490826,1,0,1
25,AUS,High income,Minerals,Oceania,Australia and New Zealand,2005,0.898817,3.074004059,0.461693082,1.292866798,1.102277777,52.8991,54.52,3.074004059,29.23929125,2.97490826,1,0,1
26,AUS,High income,Minerals,Oceania,Australia and New Zealand,2006,0.952583,4.50338535,0.467787896,1.217816363,1.103790096,57.1783,65.14,4.50338535,21.15259801,2.97490826,1,0,1
27,AUS,High income,Minerals,Oceania,Australia and New Zealand,2007,0.802509,4.882686826,0.994231407,1.121939406,1.21118819,58.5697,72.39,4.882686826,16.43580735,2.97490826,1,0,1
28,AUS,High income,Minerals,Oceania,Australia and New Zealand,2008,0.997229,5.604830423,2.683317976,1.405408041,1.244954419,66.3914,97.26,5.604830423,17.7923135,2.97490826,1,1,1
29,AUS,High income,Minerals,Oceania,Australia and New Zealand,2009,1.31697,5.14230062,1.165447828,0.787414518,0.875320783,65.0696,61.67,5.14230062,25.61052139,2.97490826,0,1,1
30,AZE,Upper middle income,Oil,Asia,Western Asia,2000,5.42417,0,NA,11.84347821,43.9315767,80.8094,28.5,43.9315767,12.34685938,-1.146421889,0,0,3
31,AZE,Upper middle income,Oil,Asia,Western Asia,2001,2.79754,0,NA,9.776719658,35.05896365,88.7506,24.44,35.05896365,7.979528511,-1.146421889,0,0,3
32,AZE,Upper middle income,Oil,Asia,Western Asia,2002,10.941,0,NA,5.820222435,33.66378878,86.8298,25.02,33.66378878,32.50079803,-1.146421889,0,1,3
33,AZE,Upper middle income,Oil,Asia,Western Asia,2003,11.3144,0,NA,8.641897537,34.73765037,86.0365,28.83,34.73765037,32.57099971,-1.146421889,1,1,3
34,AZE,Upper middle income,Oil,Asia,Western Asia,2004,10.1259,0.003334077,NA,7.95003119,40.21977295,81.9846,38.27,40.21977295,25.17642258,-1.146421889,1,0,3
