,reg_rent,reg_rent_lag
AGO,0.200084159,-0.135090923
ARE,-0.467568577,0.518400242
ARG,NA,NA
BHR,0.403458017,-0.237679838
BRN,-2.535142133,3.086323868
BWA,NA,NA
CIV,0.329179202,-0.07389722
CMR,0.657399489,0.458054934
COL,-0.069835132,0.164278137
DZA,0.877430568,0.281593998
GAB,NA,NA
GHA,NA,NA
GIN,NA,NA
GMB,NA,NA
GNB,NA,NA
GNQ,0.041483847,0.632429219
GUY,NA,NA
IDN,0.060665107,-0.777080695
IRN,0.178513756,0.13513993
KAZ,0.150689175,-0.045110729
KWT,-0.1344877,0.003998993
MEX,0.098830878,0.118334563
MLI,NA,NA
NGA,1.281916766,0.644796248
NOR,3.432423149,4.698400087
OMN,0.536485191,-1.38821348
PER,NA,NA
RUS,0.15975139,-0.483614429
SAU,0.689556074,-0.184225537
SEN,NA,NA
SLE,NA,NA
SWZ,NA,NA
SYR,-8.171096477,28.32435678
TTO,-0.067309343,0.352306717
VNM,0.190284924,-0.23870115
YEM,0.892760263,-0.24154653
