ccode,class_income,classifier,class_reg,class_subreg,year,variable,value,increasingrent
AGO,Upper middle income,Oil,Africa,Middle Africa,2000,max_rent,139.1454684,0
AGO,Upper middle income,Oil,Africa,Middle Africa,2001,max_rent,100.3571926,0
AGO,Upper middle income,Oil,Africa,Middle Africa,2002,max_rent,83.76639562,0
AGO,Upper middle income,Oil,Africa,Middle Africa,2003,max_rent,54.0998337,0
AGO,Upper middle income,Oil,Africa,Middle Africa,2004,max_rent,56.13048739,1
AGO,Upper middle income,Oil,Africa,Middle Africa,2005,max_rent,65.13416211,1
AGO,Upper middle income,Oil,Africa,Middle Africa,2006,max_rent,62.61716875,0
AGO,Upper middle income,Oil,Africa,Middle Africa,2007,max_rent,58.65732702,0
AGO,Upper middle income,Oil,Africa,Middle Africa,2008,max_rent,70.66782864,1
AGO,Upper middle income,Oil,Africa,Middle Africa,2009,max_rent,44.33736847,0
AGO,Upper middle income,Oil,Africa,Middle Africa,2010,max_rent,46.63311704,1
AGO,Upper middle income,Oil,Africa,Middle Africa,2011,max_rent,46.34450134,0
ARE,High income,Oil,Asia,Western Asia,2000,max_rent,18.2237892,0
ARE,High income,Oil,Asia,Western Asia,2001,max_rent,14.54288926,0
ARE,High income,Oil,Asia,Western Asia,2002,max_rent,13.05891062,0
ARE,High income,Oil,Asia,Western Asia,2003,max_rent,15.3968824,1
ARE,High income,Oil,Asia,Western Asia,2004,max_rent,18.31379511,1
ARE,High income,Oil,Asia,Western Asia,2005,max_rent,22.05244002,1
ARE,High income,Oil,Asia,Western Asia,2006,max_rent,23.43680341,1
ARE,High income,Oil,Asia,Western Asia,2007,max_rent,21.87369429,0
AUS,High income,Minerals,Oceania,Australia and New Zealand,2001,max_rent,1.466751891,0
AUS,High income,Minerals,Oceania,Australia and New Zealand,2002,max_rent,1.479400843,1
AUS,High income,Minerals,Oceania,Australia and New Zealand,2003,max_rent,1.546299313,1
AUS,High income,Minerals,Oceania,Australia and New Zealand,2004,max_rent,1.894671095,1
AUS,High income,Minerals,Oceania,Australia and New Zealand,2005,max_rent,3.074004059,1
AUS,High income,Minerals,Oceania,Australia and New Zealand,2006,max_rent,4.50338535,1
AUS,High income,Minerals,Oceania,Australia and New Zealand,2007,max_rent,4.882686826,1
AUS,High income,Minerals,Oceania,Australia and New Zealand,2008,max_rent,5.604830423,1
AUS,High income,Minerals,Oceania,Australia and New Zealand,2009,max_rent,5.14230062,0
AZE,Upper middle income,Oil,Asia,Western Asia,2000,max_rent,43.9315767,0
AZE,Upper middle income,Oil,Asia,Western Asia,2001,max_rent,35.05896365,0
AZE,Upper middle income,Oil,Asia,Western Asia,2002,max_rent,33.66378878,0
AZE,Upper middle income,Oil,Asia,Western Asia,2003,max_rent,34.73765037,1
AZE,Upper middle income,Oil,Asia,Western Asia,2004,max_rent,40.21977295,1
