"","ccode","year","country","class_income","class_reg","class_subreg","class_opec","class_hipc","class_ldc","class_reg2","class_dev","rev2_gov_nonresrev_gdp","rev2_gs","rev2_vat","rev2_cit","rev2_trade","rev2_pit","rev_resrev_gdp","rev_resrev_govrev","rent_min","rent_coal","rent_gas","rent_oil","rev2_gov_resrev_gdp","rev2_gov_rev_gdp","rev_source","eiti_sector","eiti__stream","eiti_inkind","eiti_companies","eiti_government","eiti_numcom","corr_cpi","corr_estimate","corr_rank","econ_gdpcon","econ_gdpcur","econ_gdpconpc","econ_gdpcurpc","econ_tva","econ_tax","econ_govrev","econ_govexp","econ_invtotal","econ_invfdi","econ_eiva","rent_res_total_gdp","gov_take_ratio","eprod_gas","eprod_oil","eprod_coal","eprod_oilper","eprod_gasper","eprod_coalper","prod_total","prod_indus","prod_ironferr","prod_fuels","prod_nfm","prod_prec"
"1","AGO","1992","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",NA,NA,NA,NA,NA,NA,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14706995908,5779394292,1336.66449,525.2677821,NA,NA,NA,NA,28.028,288,NA,0,NA,NA,27.153,NA,0.849776658,NA,NA,NA,NA,NA,NA,NA,NA
"2","AGO","1993","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",NA,NA,NA,NA,NA,NA,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11074367919,5285600050,973.814281,464.7843426,NA,NA,NA,NA,28.756,302,NA,0,NA,NA,24.81,NA,0.776655207,NA,NA,NA,NA,NA,NA,NA,NA
"3","AGO","1994","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",NA,NA,NA,NA,NA,NA,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11461970796,4059577145,976.0324576,345.6891602,NA,NA,NA,NA,27.954,170.1,NA,0,NA,NA,27.424,NA,0.845382808,NA,NA,NA,NA,NA,NA,NA,NA
"4","AGO","1995","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",NA,NA,NA,NA,NA,NA,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12654015759,5039534776,1045.358607,416.3200958,NA,NA,NA,NA,30.361,472,59.82,0,NA,NA,31.173,NA,0.948637383,NA,NA,NA,NA,NA,NA,NA,NA
"5","AGO","1996","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",7.919048,NA,NA,NA,NA,NA,39.7,47.619048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.16,7,14071265524,7526446606,1130.045589,604.4394354,NA,NA,NA,NA,37.733,180.63,62.43,0,NA,NA,35.364,NA,1.04497624,NA,NA,NA,NA,NA,NA,NA,NA
"6","AGO","1997","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",8.657143,NA,NA,NA,NA,NA,34.2,42.857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15182895500,7648377413,1186.962314,597.9317814,NA,NA,NA,NA,27.696,411.65,53.5,0,NA,NA,36.5,NA,1.047065287,NA,NA,NA,NA,NA,NA,NA,NA
"7","AGO","1998","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",10.19375,NA,NA,NA,NA,NA,23.4,33.59375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.32,2,16216055421,6445041825,1234.329483,490.5820149,NA,NA,NA,NA,38.278,1114,43.8,0,NA,NA,36,NA,1.013855014,NA,NA,NA,NA,NA,NA,NA,NA
"8","AGO","1999","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",9.220329,NA,NA,NA,NA,0.7,41.1,50.320329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16741423131,6152922943,1239.131001,455.4139458,NA,NA,NA,NA,31.315,2471.401,67.25,0,NA,NA,36.7,NA,1.052525307,NA,NA,NA,NA,NA,NA,NA,NA
"9","AGO","2000","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",7.552517,1.745391,NA,NA,1.352678,0.9,44.86376,52.416277,0,NA,1.33935909,139.1454684,45.2904229,90.216803,"Hydrocarbons",NA,NA,NA,NA,NA,NA,NA,-1.52,2,17245687549,9129594819,1238.475709,655.6294946,NA,NA,52.42,49.619,13.821,878.601,66.97,140.48482749,0.322386578744412,NA,36.85,NA,1.018018108,NA,NA,NA,NA,NA,NA,NA,NA
"10","AGO","2001","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",9.915077,2.947593,NA,NA,2.232256,0.9,35.90705,45.822127,0,NA,1.064328236,100.3571926,36.1480554,80.1721154,"Hydrocarbons",NA,NA,NA,NA,NA,NA,NA,NA,NA,17973622010,8936079253,1249.445145,621.1959301,NA,NA,45.822,41.937,14.575,2145.501,59,101.421520836,0.356414053960519,NA,36.55,NA,1.009697317,NA,NA,NA,NA,NA,NA,NA,NA
